x,y
1,0
0.999961,0.00628319
0.999883,0.0125661
0.999767,0.0188486
0.999611,0.0251303
0.999417,0.031411
0.999183,0.0376906
0.998911,0.0439686
0.9986,0.050245
0.99825,0.0565193
0.997861,0.0627915
0.997434,0.0690613
0.996967,0.0753283
0.996462,0.0815925
0.995918,0.0878534
0.995335,0.0941109
0.994714,0.100365
0.994054,0.106615
0.993355,0.112861
0.992617,0.119102
0.991841,0.125339
0.991026,0.131571
0.990173,0.137797
0.989281,0.144019
0.98835,0.150235
0.987381,0.156445
0.986374,0.162649
0.985328,0.168846
0.984244,0.175037
0.983122,0.181221
0.981961,0.187398
0.980762,0.193568
0.979525,0.19973
0.97825,0.205885
0.976936,0.212031
0.975585,0.21817
0.974196,0.224299
0.972769,0.23042
0.971303,0.236532
0.9698,0.242635
0.96826,0.248729
0.966681,0.254812
0.965065,0.260886
0.963412,0.26695
0.961721,0.273003
0.959992,0.279045
0.958226,0.285077
0.956423,0.291098
0.954583,0.297107
0.952705,0.303105
0.95079,0.309091
0.948839,0.315065
0.94685,0.321026
0.944825,0.326976
0.942762,0.332912
0.940664,0.338835
0.938528,0.344746
0.936356,0.350643
0.934148,0.356526
0.931903,0.362395
0.929622,0.368251
0.927305,0.374091
0.924951,0.379918
0.922562,0.385729
0.920137,0.391526
0.917676,0.397307
0.915179,0.403073
0.912647,0.408824
0.910079,0.414558
0.907476,0.420276
0.904838,0.425978
0.902164,0.431663
0.899455,0.437332
0.896712,0.442983
0.893933,0.448618
0.89112,0.454235
0.888272,0.459834
0.88539,0.465415
0.882473,0.470979
0.879522,0.476523
0.876537,0.48205
0.873517,0.487558
0.870464,0.493046
0.867377,0.498516
0.864256,0.503966
0.861102,0.509397
0.857914,0.514808
0.854693,0.520199
0.851438,0.525569
0.848151,0.53092
0.844831,0.536249
0.841478,0.541558
0.838092,0.546846
0.834674,0.552113
0.831223,0.557358
0.82774,0.562582
0.824225,0.567783
0.820678,0.572963
0.817099,0.578121
0.813489,0.583256
0.809847,0.588368
0.806173,0.593458
0.802468,0.598524
0.798733,0.603568
0.794966,0.608588
0.791168,0.613584
0.78734,0.618557
0.783481,0.623506
0.779592,0.62843
0.775673,0.63333
0.771723,0.638206
0.767744,0.643057
0.763735,0.647883
0.759696,0.652684
0.755628,0.65746
0.751531,0.66221
0.747405,0.666934
0.74325,0.671633
0.739066,0.676306
0.734853,0.680953
0.730612,0.685573
0.726343,0.690167
0.722045,0.694734
0.71772,0.699274
0.713367,0.703787
0.708986,0.708273
0.704578,0.712732
0.700143,0.717163
0.695681,0.721567
0.691192,0.725942
0.686676,0.73029
0.682134,0.734609
0.677565,0.7389
0.67297,0.743162
0.668349,0.747396
0.663703,0.751601
0.65903,0.755777
0.654333,0.759923
0.64961,0.764041
0.644862,0.768129
0.640089,0.772187
0.635292,0.776216
0.63047,0.780214
0.625623,0.784183
0.620753,0.788121
0.615859,0.792029
0.610941,0.795907
0.605999,0.799754
0.601034,0.80357
0.596046,0.807355
0.591035,0.811109
0.586002,0.814832
0.580946,0.818523
0.575867,0.822183
0.570766,0.825812
0.565644,0.829408
0.560499,0.832973
0.555333,0.836506
0.550146,0.840006
0.544938,0.843475
0.539708,0.84691
0.534458,0.850314
0.529188,0.853685
0.523897,0.857023
0.518586,0.860328
0.513255,0.8636
0.507904,0.866839
0.502534,0.870044
0.497145,0.873217
0.491736,0.876355
0.486309,0.879461
0.480863,0.882532
0.475399,0.88557
0.469916,0.888574
0.464415,0.891543
0.458897,0.894479
0.453361,0.89738
0.447808,0.900247
0.442238,0.90308
0.43665,0.905878
0.431046,0.908641
0.425426,0.91137
0.419789,0.914064
0.414136,0.916722
0.408467,0.919346
0.402783,0.921935
0.397083,0.924488
0.391369,0.927006
0.385639,0.929489
0.379894,0.931936
0.374135,0.934348
0.368362,0.936724
0.362575,0.939065
0.356774,0.941369
0.350959,0.943638
0.345131,0.94587
0.33929,0.948067
0.333436,0.950227
0.327569,0.952352
0.321689,0.95444
0.315798,0.956491
0.309894,0.958507
0.303979,0.960485
0.298052,0.962428
0.292113,0.964333
0.286164,0.966202
0.280204,0.968034
0.274233,0.96983
0.268251,0.971588
0.26226,0.97331
0.256258,0.974995
0.250247,0.976642
0.244226,0.978253
0.238196,0.979826
0.232157,0.981363
0.226109,0.982862
0.220053,0.984324
0.213988,0.985748
0.207915,0.987135
0.201834,0.988485
0.195746,0.989797
0.18965,0.991072
0.183547,0.992309
0.177437,0.993509
0.17132,0.994671
0.165197,0.995795
0.159067,0.996882
0.152932,0.997931
0.146791,0.998942
0.140644,0.999916
0.134492,1.00085
0.128335,1.00175
0.122173,1.00261
0.116006,1.00343
0.109835,1.00422
0.10366,1.00496
0.0974809,1.00567
0.0912981,1.00634
0.0851119,1.00698
0.0789226,1.00757
0.0727302,1.00813
0.0665351,1.00865
0.0603375,1.00913
0.0541376,1.00957
0.0479357,1.00997
0.0417319,1.01034
0.0355266,1.01067
0.02932,1.01096
0.0231123,1.01121
0.0169036,1.01143
0.0106944,1.0116
0.00448476,1.01174
-0.00172505,1.01184
-0.0079348,1.01191
-0.0141442,1.01193
-0.0203532,1.01192
-0.0265613,1.01187
-0.0327685,1.01178
-0.0389744,1.01165
-0.0451789,1.01148
